Tag,Project_count,Win_count,Win:Proj
angular.js,1085,136,0.1253
objective-c,1063,153,0.1439
ios,3189,505,0.1584
python,3118,398,0.1276
hardware,2274,451,0.1983
android,5455,783,0.1435
php,1701,187,0.1099
web,4498,634,0.141
css3,1292,130,0.1006
c#,1123,109,0.0971
jquery,2467,311,0.1261
mongodb,1058,154,0.1456
mac,1368,168,0.1228
css,3542,312,0.0881
node.js,2482,388,0.1563
bootstrap,1652,208,0.1259
html5,2789,295,0.1058
html,2939,283,0.0963
windows,1915,229,0.1196
java,3197,322,0.1007
javascript,7401,754,0.1019
unity,1240,128,0.1032
